qname,pos.start,pos.end,domain,multi_domain,row,row.plus,annotation,category,domain.level,domain_name
reprseq012085,2,70,11.1.1,FALSE,1.5,2,structural protein,head and packaging,T,Immunoglobulin/Fibronectin type III/E set domains/PapD-like
reprseq012085,71,116,undetected,FALSE,1.5,2,structural protein,head and packaging,T,undetected
reprseq012085,117,212,10.1.2,FALSE,1.5,2,structural protein,head and packaging,T,Galactose-binding domain-like
reprseq012085,213,225,undetected,FALSE,1.5,2,structural protein,head and packaging,T,undetected
reprseq053592,1,5,undetected,FALSE,2.5,3,structural protein,head and packaging,T,undetected
reprseq053592,6,119,11.24.1,FALSE,2.5,3,structural protein,head and packaging,T,N-terminal Ig-like domain in baseplate protein ORF48
reprseq053592,120,179,undetected,FALSE,2.5,3,structural protein,head and packaging,T,undetected
reprseq053592,180,181,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,182,183,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,184,184,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,185,185,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,186,186,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,187,188,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,189,190,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,191,193,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,194,196,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,197,199,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,200,200,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,201,444,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,445,446,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,447,448,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,449,501,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,502,502,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,503,503,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,504,508,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,509,509,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,510,511,207.2.1,FALSE,2.5,3,structural protein,head and packaging,T,Pectin lyase-like
reprseq053592,512,602,undetected,FALSE,2.5,3,structural protein,head and packaging,T,undetected
reprseq111775,1,6,undetected,FALSE,3.5,4,structural protein,head and packaging,T,undetected
reprseq111775,7,9,2485.3.1,FALSE,3.5,4,structural protein,head and packaging,T,Major capsid protein gp5
reprseq111775,10,13,2485.3.1,FALSE,3.5,4,structural protein,head and packaging,T,Major capsid protein gp5
reprseq111775,14,14,multiple domains,TRUE,3.5,4,structural protein,head and packaging,T,multiple domains
reprseq111775,15,16,multiple domains,TRUE,3.5,4,structural protein,head and packaging,T,multiple domains
reprseq111775,17,79,multiple domains,TRUE,3.5,4,structural protein,head and packaging,T,multiple domains
reprseq111775,80,229,multiple domains,TRUE,3.5,4,structural protein,head and packaging,T,multiple domains
reprseq111775,230,301,2485.3.1,FALSE,3.5,4,structural protein,head and packaging,T,Major capsid protein gp5
reprseq111775,302,302,2485.3.1,FALSE,3.5,4,structural protein,head and packaging,T,Major capsid protein gp5
reprseq111775,303,304,2485.3.1,FALSE,3.5,4,structural protein,head and packaging,T,Major capsid protein gp5
reprseq111775,305,323,undetected,FALSE,3.5,4,structural protein,head and packaging,T,undetected
reprseq084869,1,6,undetected,FALSE,4.5,5,structural protein,head and packaging,T,undetected
reprseq084869,7,7,5.1.3,FALSE,4.5,5,structural protein,head and packaging,T,6-bladed
reprseq084869,8,8,5.1.3,FALSE,4.5,5,structural protein,head and packaging,T,6-bladed
reprseq084869,9,9,5.1.3,FALSE,4.5,5,structural protein,head and packaging,T,6-bladed
reprseq084869,10,10,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,11,11,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,12,12,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,13,13,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,14,14,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,15,18,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,19,24,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,25,29,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,30,36,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,37,39,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,40,42,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,43,57,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,58,61,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,62,71,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,72,73,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,74,83,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,84,86,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,87,89,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,90,216,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,217,220,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,221,224,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,225,229,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,230,230,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,231,239,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,240,240,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,241,242,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,243,253,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,254,255,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,256,260,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,261,263,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,264,269,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,270,272,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,273,274,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,275,275,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,276,283,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,284,285,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,286,286,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,287,287,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,288,288,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,289,289,multiple domains,TRUE,4.5,5,structural protein,head and packaging,T,multiple domains
reprseq084869,290,307,5.1.4,FALSE,4.5,5,structural protein,head and packaging,T,7-bladed
reprseq084869,308,308,undetected,FALSE,4.5,5,structural protein,head and packaging,T,undetected
reprseq039968,1,20,undetected,FALSE,5.5,6,structural protein,head and packaging,T,undetected
reprseq039968,21,125,872.6.1,FALSE,5.5,6,structural protein,head and packaging,T,Pilus binding domain in attachment protein G3P
reprseq039968,126,131,undetected,FALSE,5.5,6,structural protein,head and packaging,T,undetected
reprseq039968,132,133,392.1.1,FALSE,5.5,6,structural protein,head and packaging,T,N-terminal domains of the minor coat protein g3p
reprseq039968,134,134,392.1.1,FALSE,5.5,6,structural protein,head and packaging,T,N-terminal domains of the minor coat protein g3p
reprseq039968,135,195,392.1.1,FALSE,5.5,6,structural protein,head and packaging,T,N-terminal domains of the minor coat protein g3p
reprseq039968,196,196,392.1.1,FALSE,5.5,6,structural protein,head and packaging,T,N-terminal domains of the minor coat protein g3p
reprseq039968,197,198,392.1.1,FALSE,5.5,6,structural protein,head and packaging,T,N-terminal domains of the minor coat protein g3p
reprseq039968,199,434,undetected,FALSE,5.5,6,structural protein,head and packaging,T,undetected
reprseq130207,1,20,undetected,FALSE,0.5,1,capsid assembly,head and packaging,T,undetected
reprseq130207,21,94,3070.1.1,FALSE,0.5,1,capsid assembly,head and packaging,T,N0 domain in phage tail proteins and secretins
reprseq130207,95,127,undetected,FALSE,0.5,1,capsid assembly,head and packaging,T,undetected
reprseq130207,128,129,327.16.1,FALSE,0.5,1,capsid assembly,head and packaging,T,Ring-building motif II in type III secretion system
reprseq130207,130,130,327.16.1,FALSE,0.5,1,capsid assembly,head and packaging,T,Ring-building motif II in type III secretion system
reprseq130207,131,192,327.16.1,FALSE,0.5,1,capsid assembly,head and packaging,T,Ring-building motif II in type III secretion system
reprseq130207,193,193,327.16.1,FALSE,0.5,1,capsid assembly,head and packaging,T,Ring-building motif II in type III secretion system
reprseq130207,194,194,327.16.1,FALSE,0.5,1,capsid assembly,head and packaging,T,Ring-building motif II in type III secretion system
reprseq130207,195,197,327.16.1,FALSE,0.5,1,capsid assembly,head and packaging,T,Ring-building motif II in type III secretion system
reprseq130207,198,198,327.16.1,FALSE,0.5,1,capsid assembly,head and packaging,T,Ring-building motif II in type III secretion system
reprseq130207,199,426,undetected,FALSE,0.5,1,capsid assembly,head and packaging,T,undetected
reprseq126238,1,2,101.1.1,FALSE,0.5,1,terminase small,head and packaging,T,tri-helical
reprseq126238,3,8,101.1.1,FALSE,0.5,1,terminase small,head and packaging,T,tri-helical
reprseq126238,9,130,multiple domains,TRUE,0.5,1,terminase small,head and packaging,T,multiple domains
reprseq126238,131,133,multiple domains,TRUE,0.5,1,terminase small,head and packaging,T,multiple domains
reprseq126238,134,147,101.31.1,FALSE,0.5,1,terminase small,head and packaging,T,Bacteriophage Sf6 terminase small subunit
reprseq126238,148,153,undetected,FALSE,0.5,1,terminase small,head and packaging,T,undetected
reprseq013246,1,123,11.24.1,FALSE,0.5,1,minor capsid,head and packaging,T,N-terminal Ig-like domain in baseplate protein ORF48
reprseq013246,124,129,undetected,FALSE,0.5,1,minor capsid,head and packaging,T,undetected
reprseq013246,130,192,3591.1.1,FALSE,0.5,1,minor capsid,head and packaging,T,Helical linker in baseplate protein ORF48
reprseq013246,193,192,undetected,FALSE,0.5,1,minor capsid,head and packaging,T,undetected
reprseq013246,193,297,11.27.1,FALSE,0.5,1,minor capsid,head and packaging,T,C-terminal Ig-like domain in baseplate protein ORF48
reprseq013246,298,298,11.27.1,FALSE,0.5,1,minor capsid,head and packaging,T,C-terminal Ig-like domain in baseplate protein ORF48
reprseq013246,299,299,undetected,FALSE,0.5,1,minor capsid,head and packaging,T,undetected
reprseq022969,1,88,1.1.13,FALSE,1.5,2,minor capsid,head and packaging,T,Phage tail proteins
reprseq022969,89,90,undetected,FALSE,1.5,2,minor capsid,head and packaging,T,undetected
reprseq022969,91,173,3070.1.1,FALSE,1.5,2,minor capsid,head and packaging,T,N0 domain in phage tail proteins and secretins
reprseq022969,174,174,undetected,FALSE,1.5,2,minor capsid,head and packaging,T,undetected
reprseq022969,175,197,1.1.13,FALSE,1.5,2,minor capsid,head and packaging,T,Phage tail proteins
reprseq022969,198,263,multiple domains,TRUE,1.5,2,minor capsid,head and packaging,T,multiple domains
reprseq022969,264,331,1.1.13,FALSE,1.5,2,minor capsid,head and packaging,T,Phage tail proteins
reprseq022969,332,411,undetected,FALSE,1.5,2,minor capsid,head and packaging,T,undetected
reprseq022969,412,412,2007.5.1,FALSE,1.5,2,minor capsid,head and packaging,T,SGNH hydrolase
reprseq022969,413,413,2007.5.1,FALSE,1.5,2,minor capsid,head and packaging,T,SGNH hydrolase
reprseq022969,414,414,2007.5.1,FALSE,1.5,2,minor capsid,head and packaging,T,SGNH hydrolase
reprseq022969,415,415,2007.5.1,FALSE,1.5,2,minor capsid,head and packaging,T,SGNH hydrolase
reprseq022969,416,612,2007.5.1,FALSE,1.5,2,minor capsid,head and packaging,T,SGNH hydrolase
reprseq022969,613,613,2007.5.1,FALSE,1.5,2,minor capsid,head and packaging,T,SGNH hydrolase
reprseq022969,614,615,2007.5.1,FALSE,1.5,2,minor capsid,head and packaging,T,SGNH hydrolase
reprseq022969,616,616,2007.5.1,FALSE,1.5,2,minor capsid,head and packaging,T,SGNH hydrolase
reprseq022969,617,617,2007.5.1,FALSE,1.5,2,minor capsid,head and packaging,T,SGNH hydrolase
reprseq022969,618,618,undetected,FALSE,1.5,2,minor capsid,head and packaging,T,undetected
reprseq067546,1,7,undetected,FALSE,2.5,3,minor capsid,head and packaging,T,undetected
reprseq067546,8,110,11.24.1,FALSE,2.5,3,minor capsid,head and packaging,T,N-terminal Ig-like domain in baseplate protein ORF48
reprseq067546,111,371,undetected,FALSE,2.5,3,minor capsid,head and packaging,T,undetected
reprseq067546,372,372,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,373,373,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,374,374,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,375,375,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,376,376,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,377,377,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,378,388,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,389,508,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,509,528,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,529,529,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,530,536,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,537,598,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,599,599,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,600,600,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,601,601,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,602,603,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,604,605,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,606,606,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,607,610,2002.3.1,FALSE,2.5,3,minor capsid,head and packaging,T,Glycoside hydrolase/deacetylase
reprseq067546,611,641,undetected,FALSE,2.5,3,minor capsid,head and packaging,T,undetected
reprseq121524,1,92,undetected,FALSE,3.5,4,minor capsid,head and packaging,T,undetected
reprseq121524,93,176,3070.1.1,FALSE,3.5,4,minor capsid,head and packaging,T,N0 domain in phage tail proteins and secretins
reprseq121524,177,278,undetected,FALSE,3.5,4,minor capsid,head and packaging,T,undetected
reprseq121524,279,363,1.1.13,FALSE,3.5,4,minor capsid,head and packaging,T,Phage tail proteins
reprseq121524,364,986,undetected,FALSE,3.5,4,minor capsid,head and packaging,T,undetected
reprseq082165,1,186,undetected,FALSE,0.5,1,capsid decoration,head and packaging,T,undetected
reprseq082165,187,193,10.1.2,FALSE,0.5,1,capsid decoration,head and packaging,T,Galactose-binding domain-like
reprseq082165,194,302,multiple domains,TRUE,0.5,1,capsid decoration,head and packaging,T,multiple domains
reprseq082165,303,307,2007.5.1,FALSE,0.5,1,capsid decoration,head and packaging,T,SGNH hydrolase
reprseq082165,308,308,2007.5.1,FALSE,0.5,1,capsid decoration,head and packaging,T,SGNH hydrolase
reprseq082165,309,309,2007.5.1,FALSE,0.5,1,capsid decoration,head and packaging,T,SGNH hydrolase
reprseq082165,310,487,2007.5.1,FALSE,0.5,1,capsid decoration,head and packaging,T,SGNH hydrolase
reprseq082165,488,489,2007.5.1,FALSE,0.5,1,capsid decoration,head and packaging,T,SGNH hydrolase
reprseq082165,490,490,2007.5.1,FALSE,0.5,1,capsid decoration,head and packaging,T,SGNH hydrolase
reprseq082165,491,491,2007.5.1,FALSE,0.5,1,capsid decoration,head and packaging,T,SGNH hydrolase
reprseq082165,492,492,2007.5.1,FALSE,0.5,1,capsid decoration,head and packaging,T,SGNH hydrolase
reprseq082165,493,493,2007.5.1,FALSE,0.5,1,capsid decoration,head and packaging,T,SGNH hydrolase
reprseq106746,1,2,undetected,FALSE,0.5,1,HNH endonuclease,"DNA, RNA and nucleotide metabolism",T,undetected
reprseq106746,3,95,378.1.1,FALSE,0.5,1,HNH endonuclease,"DNA, RNA and nucleotide metabolism",T,His-Me finger endonucleases
reprseq106746,96,98,undetected,FALSE,0.5,1,HNH endonuclease,"DNA, RNA and nucleotide metabolism",T,undetected
reprseq106746,99,146,252.2.1,FALSE,0.5,1,HNH endonuclease,"DNA, RNA and nucleotide metabolism",T,GCC-box binding domain-like
reprseq106746,147,160,undetected,FALSE,0.5,1,HNH endonuclease,"DNA, RNA and nucleotide metabolism",T,undetected
reprseq019708,1,238,undetected,FALSE,1.5,2,HNH endonuclease,"DNA, RNA and nucleotide metabolism",T,undetected
reprseq019708,239,247,378.1.1,FALSE,1.5,2,HNH endonuclease,"DNA, RNA and nucleotide metabolism",T,His-Me finger endonucleases
reprseq019708,248,325,multiple domains,TRUE,1.5,2,HNH endonuclease,"DNA, RNA and nucleotide metabolism",T,multiple domains
reprseq019708,326,328,377.7.1,FALSE,1.5,2,HNH endonuclease,"DNA, RNA and nucleotide metabolism",T,82 prophage-derived uncharacterized protein ybcO
reprseq019708,329,329,undetected,FALSE,1.5,2,HNH endonuclease,"DNA, RNA and nucleotide metabolism",T,undetected
reprseq067222,1,1,2006.1.4,FALSE,0.5,1,exonuclease,"DNA, RNA and nucleotide metabolism",T,PIN domain-like
reprseq067222,2,145,2006.1.4,FALSE,0.5,1,exonuclease,"DNA, RNA and nucleotide metabolism",T,PIN domain-like
reprseq067222,146,185,undetected,FALSE,0.5,1,exonuclease,"DNA, RNA and nucleotide metabolism",T,undetected
reprseq067222,186,267,102.1.1,FALSE,0.5,1,exonuclease,"DNA, RNA and nucleotide metabolism",T,SAM domain-like
reprseq067222,268,283,undetected,FALSE,0.5,1,exonuclease,"DNA, RNA and nucleotide metabolism",T,undetected
reprseq124609,1,19,undetected,FALSE,1.5,2,exonuclease,"DNA, RNA and nucleotide metabolism",T,undetected
reprseq124609,20,21,2008.1.1,FALSE,1.5,2,exonuclease,"DNA, RNA and nucleotide metabolism",T,Restriction endonuclease-like
reprseq124609,22,22,2008.1.1,FALSE,1.5,2,exonuclease,"DNA, RNA and nucleotide metabolism",T,Restriction endonuclease-like
reprseq124609,23,186,2008.1.1,FALSE,1.5,2,exonuclease,"DNA, RNA and nucleotide metabolism",T,Restriction endonuclease-like
reprseq124609,187,269,2008.1.1,FALSE,1.5,2,exonuclease,"DNA, RNA and nucleotide metabolism",T,Restriction endonuclease-like
reprseq124609,270,284,undetected,FALSE,1.5,2,exonuclease,"DNA, RNA and nucleotide metabolism",T,undetected
reprseq124609,285,289,2004.1.1,FALSE,1.5,2,exonuclease,"DNA, RNA and nucleotide metabolism",T,P-loop containing nucleoside triphosphate hydrolases
reprseq124609,290,466,2004.1.1,FALSE,1.5,2,exonuclease,"DNA, RNA and nucleotide metabolism",T,P-loop containing nucleoside triphosphate hydrolases
reprseq124609,467,467,2004.1.1,FALSE,1.5,2,exonuclease,"DNA, RNA and nucleotide metabolism",T,P-loop containing nucleoside triphosphate hydrolases
reprseq124609,468,468,2004.1.1,FALSE,1.5,2,exonuclease,"DNA, RNA and nucleotide metabolism",T,P-loop containing nucleoside triphosphate hydrolases
